name,start_date,end_date
BONFIRE,2021-03-08,2021-06-30
CHANGE OF PACE,2020-09-28,2020-10-16
ELLINGTON,2020-12-01,2021-03-17
"HELLO, GOODBYE AND EVERYTHING IN BETWEEN",2020-10-05,2020-11-09
LOVE HARD,2020-10-05,2020-11-24
SOLITARY,2020-09-07,2020-10-16
UNTITLED GRAHAM KING PROJECT,2020-09-02,2020-10-07
A CINDERELLA STORY: STARSTRUCK,2020-08-31,2020-09-26
A BRIGHT AND MERRY CHRISTMAS,2020-09-14,2020-10-02
A FAMILY THROUGH CHRISTMAS,2020-08-12,2020-09-01
A SUGAR AND SPICE HOLIDAY,2020-09-14,2020-10-02
CHASING WATERFALLS,2020-08-17,2020-09-04
LOVE AT CEDAR CREEK,2020-08-20,2020-09-04
LOVE ON THE VINE,2020-08-17,2020-09-01
LOVE STORIES IN SUNFLOWER VALLEY,2020-09-08,2020-09-23
NEVER KISS A MAN IN A CHRISTMAS SWEATER,2020-09-08,2020-09-28
ROMANCE AT CRYSTAL COVE,2020-09-03,2020-09-19
THE CHRISTMAS DOCTOR,2020-09-21,2020-10-09
THE CHRISTMAS HOUSE,2020-09-14,2020-10-02
THE CHRISTMAS RING,2020-08-25,2020-09-11
THE CHRISTMAS WALTZ,2020-09-08,2020-09-26
THE WENDY WILLIAMS STORY,2020-09-21,2020-10-23
TIMELESS CHRISTMAS,2020-08-17,2020-09-04
UNDER A LOVER'S MOON,2020-09-21,2020-10-06
A MILLION LITTLE THINGS – SEASON 3,2020-08-27,2021-05-17
ARE YOU AFRAID OF THE DARK?,2020-10-13,2020-12-18
BATWOMAN – SEASON 2,2020-09-03,2021-05-10
BRENDAR THE BARBARIAN - SEASON 1,2020-10-19,2021-02-12
DAY OF THE DEAD - SEASON 1,2020-09-14,2020-12-01
DEBRIS - SEASON 1,2020-10-05,2021-01-14
FAMILY LAW - SEASON 1,2020-07-20,2020-10-14
GABBY DURAN AND THE UNSITTABLES - SEASON 2,2020-09-29,2021-03-04
KUNG FU - SEASON 1,2020-10-13,2021-04-20
LEGENDS OF TOMORROW - SEASON 6,2020-10-05,2021-05-10
MOTHERLAND FORT SALEM - SEASON 2,2020-10-06,2021-03-12
NANCY DREW - SEASON 2,2020-09-29,2021-04-29
RESIDENT ALIEN - SEASON 1,2020-09-10,2020-10-14
RIVERDALE - SEASON 5,2020-09-14,2021-05-01
SUPER PUPS - SEASON 1,2020-08-17,2020-10-02
SUPERGIRL - SEASON 6,2020-09-28,2021-04-05
SUPERMAN & LOIS - SEASON 1,2020-10-13,2021-05-01
SUPERNATURAL - SEASON 15,2020-08-18,2020-09-11
THE ASTRONAUTS - SEASON 1,2020-08-04,2020-09-18
THE BIG SKY - SEASON 1,2020-08-27,2021-01-13
THE FLASH - SEASON 7,2020-10-01,2021-05-19
THE GOOD DOCTOR - SEASON 4,2020-09-02,2021-05-28
TWO SENTENCE HORROR STORIES - SEASON 2,2020-10-05,2020-12-18
VAN HELSING - SEASON 5,2020-06-29,2020-09-18
WHEN CALLS THE HEART - SEASON 8,2020-07-27,2020-11-17
ZOEY'S EXTRAORDINARY PLAYLIST – SEASON 2,2020-09-21,2021-03-31
ANOTHER LIFE - SEASON 2,2020-08-28,2020-11-24
HOME BEFORE DARK - SEASON 2,2020-09-14,2020-12-28
LOST IN SPACE - SEASON 3,2020-09-09,2021-01-14
MAID - SEASON 1,2020-09-24,2021-03-04
MIDNIGHT MASS – SEASON 1,2020-08-17,2020-12-15
MYSTERIOUS BENEDICT SOCIETY - SEASON 1,2020-08-26,2021-01-19
PUDDIN - SEASON 1,2020-10-13,2020-12-10
SEA TO SEA – SEASON 3,2020-08-25,2020-12-11
THE MIGHTY DUCKS – SEASON 1,2020-08-31,2020-12-17
THE POWER - SEASON 1,2020-09-21,2021-03-13
TURNER & HOOCH - SEASON 1,2020-09-22,2021-04-19
